x,y,z,fp_x,fp_y,fp_z,B.tot,B.tot.mag,B.canc,B.canc.mag,B.RMF,B.RMF.mag,is.rot
-0.07,0.02,-0.02,0.0,1.0,0.0,,,,0.001284,[0.00010881 0.00048695 0.00016499],0.000526,False
-0.07,0.02,-0.01,0.0,1.0,0.0,,,,0.00131,[0.00013441 0.00057446 0.00018939],0.00062,False
-0.07,0.02,0.0,0.0,1.0,0.0,,,,0.001379,[0.00016548 0.00067497 0.00021502],0.000727,False
-0.07,0.02,0.01,0.0,1.0,0.0,,,,0.001534,[0.00020286 0.0007891  0.00024076],0.00085,False
-0.07,0.02,0.02,0.0,1.0,0.0,,,,0.001822,[0.00024734 0.00091688 0.00026494],0.000986,False
-0.07,0.02,0.03,0.0,1.0,0.0,,,,0.002283,[0.0002996  0.00105734 0.00028512],0.001135,False
-0.07,0.02,0.04,0.0,1.0,0.0,,,,0.002942,[0.00036008 0.00120814 0.000298  ],0.001295,False
-0.07,0.02,0.05,0.0,1.0,0.0,,,,0.003806,[0.00042874 0.00136501 0.00029925],0.001462,False
-0.07,0.02,0.06,0.0,1.0,0.0,,,,0.004859,[0.00050481 0.00152112 0.00028347],0.001628,False
-0.07,0.02,0.07,0.0,1.0,0.0,,,,0.006045,[0.00058635 0.00166641 0.00024434],0.001783,False
-0.07,0.03,-0.07,0.0,1.0,0.0,,,,0.001211,[5.47690664e-05 1.91974011e-04 1.10213415e-04],0.000228,False
-0.07,0.03,-0.06,0.0,1.0,0.0,,,,0.001247,[6.80416750e-05 2.29313218e-04 1.30373037e-04],0.000272,False
-0.07,0.03,-0.05,0.0,1.0,0.0,,,,0.001278,[8.45860520e-05 2.73636264e-04 1.53764770e-04],0.000325,False
-0.07,0.03,-0.04,0.0,1.0,0.0,,,,0.001303,[0.00010517 0.00032614 0.00018064],0.000387,False
-0.07,0.03,-0.03,0.0,1.0,0.0,,,,0.001322,[0.00013069 0.00038814 0.00021114],0.000461,False
-0.07,0.03,-0.02,0.0,1.0,0.0,,,,0.001342,[0.00016222 0.00046105 0.00024519],0.000547,False
-0.07,0.03,-0.01,0.0,1.0,0.0,,,,0.001374,[0.00020095 0.00054632 0.00028239],0.000647,False
-0.07,0.03,0.0,0.0,1.0,0.0,,,,0.001443,[0.00024821 0.00064534 0.00032188],0.000763,False
-0.07,0.03,0.01,0.0,1.0,0.0,,,,0.001586,[0.00030541 0.00075923 0.00036212],0.000895,False
-0.07,0.03,0.02,0.0,1.0,0.0,,,,0.001852,[0.00037394 0.00088865 0.00040072],0.001044,False
-0.07,0.03,0.03,0.0,1.0,0.0,,,,0.002287,[0.00045509 0.00103342 0.00043414],0.00121,False
-0.07,0.03,0.04,0.0,1.0,0.0,,,,0.002923,[0.00054983 0.00119206 0.00045745],0.00139,False
-0.07,0.03,0.05,0.0,1.0,0.0,,,,0.003779,[0.00065854 0.00136118 0.00046408],0.001582,False
-0.07,0.03,0.06,0.0,1.0,0.0,,,,0.004848,[0.00078061 0.00153467 0.00044557],0.001779,False
-0.07,0.03,0.07,0.0,1.0,0.0,,,,0.00608,[0.00091374 0.00170261 0.00039161],0.001972,False
-0.07,0.04,-0.07,0.0,1.0,0.0,,,,0.001237,[7.14853409e-05 1.73679970e-04 1.43001228e-04],0.000236,False
-0.07,0.04,-0.06,0.0,1.0,0.0,,,,0.001281,[8.89359986e-05 2.07828492e-04 1.69412190e-04],0.000282,False
-0.07,0.04,-0.05,0.0,1.0,0.0,,,,0.001322,[0.00011076 0.00024858 0.0002002 ],0.000338,False
-0.07,0.04,-0.04,0.0,1.0,0.0,,,,0.001358,[0.00013803 0.00029718 0.00023577],0.000404,False
-0.07,0.04,-0.03,0.0,1.0,0.0,,,,0.001392,[0.000172   0.00035507 0.00027642],0.000482,False
-0.07,0.04,-0.02,0.0,1.0,0.0,,,,0.001427,[0.0002142  0.00042387 0.00032218],0.000574,False
-0.07,0.04,-0.01,0.0,1.0,0.0,,,,0.001475,[0.00026638 0.00050535 0.00037273],0.000682,False
-0.07,0.04,0.0,0.0,1.0,0.0,,,,0.001556,[0.00033051 0.00060138 0.00042714],0.000808,False
-0.07,0.04,0.01,0.0,1.0,0.0,,,,0.001705,[0.00040877 0.00071376 0.00048362],0.000954,False
-0.07,0.04,0.02,0.0,1.0,0.0,,,,0.001968,[0.00050342 0.00084405 0.00053923],0.001121,False
-0.07,0.04,0.03,0.0,1.0,0.0,,,,0.002395,[0.00061666 0.00099317 0.00058951],0.001309,False
-0.07,0.04,0.04,0.0,1.0,0.0,,,,0.003031,[0.00075047 0.00116096 0.000628  ],0.001518,False
-0.07,0.04,0.05,0.0,1.0,0.0,,,,0.003908,[0.0009062  0.0013454  0.00064584],0.001746,False
-0.07,0.04,0.06,0.0,1.0,0.0,,,,0.005031,[0.00108415 0.00154164 0.00063121],0.001988,False
-0.07,0.04,0.07,0.0,1.0,0.0,,,,0.006358,[0.00128263 0.00174049 0.00056896],0.002236,False
-0.07,0.05,-0.07,0.0,1.0,0.0,,,,0.001268,[8.68493317e-05 1.50627941e-04 1.72345539e-04],0.000245,False
-0.07,0.05,-0.06,0.0,1.0,0.0,,,,0.001323,[0.00010823 0.0001806  0.00020453],0.000294,False
-0.07,0.05,-0.05,0.0,1.0,0.0,,,,0.001377,[0.00013509 0.00021659 0.00024224],0.000352,False
-0.07,0.05,-0.04,0.0,1.0,0.0,,,,0.001429,[0.0001688  0.00025988 0.00028611],0.000422,False
-0.07,0.05,-0.03,0.0,1.0,0.0,,,,0.001482,[0.00021106 0.00031199 0.00033666],0.000505,False
-0.07,0.05,-0.02,0.0,1.0,0.0,,,,0.001541,[0.00026392 0.00037474 0.00039417],0.000605,False
-0.07,0.05,-0.01,0.0,1.0,0.0,,,,0.001616,[0.0003298  0.00045024 0.00045851],0.000722,False
-0.07,0.05,0.0,0.0,1.0,0.0,,,,0.001727,[0.00041152 0.0005409  0.0005289 ],0.000861,False
-0.07,0.05,0.01,0.0,1.0,0.0,,,,0.001907,[0.00051228 0.00064932 0.00060354],0.001024,False
-0.07,0.05,0.02,0.0,1.0,0.0,,,,0.002201,[0.00063556 0.00077817 0.00067926],0.001213,False
-0.07,0.05,0.03,0.0,1.0,0.0,,,,0.002665,[0.00078502 0.00092983 0.00075089],0.00143,False
-0.07,0.05,0.04,0.0,1.0,0.0,,,,0.003352,[0.00096424 0.00110591 0.00081071],0.001676,False
-0.07,0.05,0.05,0.0,1.0,0.0,,,,0.004311,[0.00117647 0.00130646 0.00084762],0.001952,False
-0.07,0.05,0.06,0.0,1.0,0.0,,,,0.005562,[0.00142409 0.00152869 0.00084624],0.002254,False
-0.07,0.05,0.07,0.0,1.0,0.0,,,,0.007074,[0.00170768 0.00176505 0.00078569],0.002579,False
-0.07,0.06,-0.07,0.0,1.0,0.0,,,,0.001305,[0.0001005  0.00012326 0.00019735],0.000253,False
-0.07,0.06,-0.06,0.0,1.0,0.0,,,,0.001371,[0.00012546 0.00014805 0.00023462],0.000304,False
-0.07,0.06,-0.05,0.0,1.0,0.0,,,,0.00144,[0.00015697 0.00017803 0.00027855],0.000366,False
-0.07,0.06,-0.04,0.0,1.0,0.0,,,,0.001511,[0.00019674 0.00021444 0.00033003],0.00044,False
-0.07,0.06,-0.03,0.0,1.0,0.0,,,,0.001588,[0.00024694 0.00025882 0.0003899 ],0.000529,False
-0.07,0.06,-0.02,0.0,1.0,0.0,,,,0.001678,[0.00031024 0.00031312 0.00045879],0.000636,False
-0.07,0.06,-0.01,0.0,1.0,0.0,,,,0.001791,[0.00038988 0.00037972 0.00053699],0.000765,False
-0.07,0.06,0.0,0.0,1.0,0.0,,,,0.001949,[0.00048974 0.00046155 0.00062408],0.000918,False
-0.07,0.06,0.01,0.0,1.0,0.0,,,,0.002186,[0.0006144  0.00056203 0.00071862],0.0011,False
-0.07,0.06,0.02,0.0,1.0,0.0,,,,0.002551,[0.00076906 0.00068506 0.00081754],0.001315,False
-0.07,0.06,0.03,0.0,1.0,0.0,,,,0.003105,[0.00095951 0.00083476 0.00091546],0.001567,False
-0.07,0.06,0.04,0.0,1.0,0.0,,,,0.003919,[0.00119196 0.00101506 0.00100379],0.00186,False
-0.07,0.06,0.05,0.0,1.0,0.0,,,,0.00506,[0.00147283 0.0012288  0.00106954],0.002196,False
-0.07,0.06,0.06,0.0,1.0,0.0,,,,0.006575,[0.00180844 0.00147642 0.00109376],0.002578,False
-0.07,0.06,0.07,0.0,1.0,0.0,,,,0.008451,[0.00220443 0.00175348 0.00104913],0.003006,False
-0.07,0.07,-0.07,0.0,1.0,0.0,,,,0.001344,[1.12056733e-04 9.21972950e-05 2.17136989e-04],0.000261,False
-0.07,0.07,-0.06,0.0,1.0,0.0,,,,0.001423,[0.00014015 0.00011084 0.00025857],0.000314,False
-0.07,0.07,-0.05,0.0,1.0,0.0,,,,0.001508,[0.00017576 0.00013355 0.00030769],0.000379,False
-0.07,0.07,-0.04,0.0,1.0,0.0,,,,0.001602,[0.000221   0.00016142 0.0003657 ],0.000457,False
-0.07,0.07,-0.03,0.0,1.0,0.0,,,,0.001707,[0.00027852 0.00019591 0.0004338 ],0.000551,False
-0.07,0.07,-0.02,0.0,1.0,0.0,,,,0.001831,[0.0003517  0.00023892 0.00051311],0.000666,False
