x,y,z,fp_x,fp_y,fp_z,B.tot,B.tot.mag,B.canc,B.canc.mag,B.RMF,B.RMF.mag,is.rot
0.01,-0.02,0.02,0.0,1.0,0.0,,,,0.000798,[ 2.96150434e-05  1.31570233e-03 -3.36964014e-04],0.001358,True
0.01,-0.01,-0.02,0.0,1.0,0.0,,,,0.000798,[ 7.25915845e-06  7.76677560e-04 -1.05682418e-04],0.000784,True
0.01,-0.01,-0.01,0.0,1.0,0.0,,,,0.000798,[ 8.68376999e-06  8.89306307e-04 -1.19630019e-04],0.000897,True
0.01,-0.01,0.0,0.0,1.0,0.0,,,,0.000798,[ 1.03751600e-05  1.01659752e-03 -1.34706886e-04],0.001026,True
0.01,-0.01,0.01,0.0,1.0,0.0,,,,0.000798,[ 1.23732802e-05  1.15964060e-03 -1.50704278e-04],0.001169,True
0.01,-0.01,0.02,0.0,1.0,0.0,,,,0.000798,[ 1.47193080e-05  1.31926101e-03 -1.67271536e-04],0.00133,True
0.01,0.0,-0.02,0.0,1.0,0.0,,,,0.000798,[-5.42101086e-20  7.79746331e-04 -3.79470760e-19],0.00078,True
0.01,0.0,-0.01,0.0,1.0,0.0,,,,0.000798,[-9.48676901e-20  8.92265797e-04 -5.42101086e-20],0.000892,True
0.01,0.0,0.0,0.0,1.0,0.0,,,,0.000798,[ 4.74338450e-20  1.01924084e-03 -5.42101086e-19],0.001019,True
0.01,0.0,0.01,0.0,1.0,0.0,,,,0.000798,[ 6.77626358e-20  1.16167957e-03 -8.67361738e-19],0.001162,True
0.01,0.0,0.02,0.0,1.0,0.0,,,,0.000798,[-8.80914265e-20  1.32030718e-03 -8.67361738e-19],0.00132,True
0.01,0.01,-0.02,0.0,1.0,0.0,,,,0.000798,[-7.25915845e-06  7.76677560e-04  1.05682418e-04],0.000784,True
0.01,0.01,-0.01,0.0,1.0,0.0,,,,0.000798,[-8.68376999e-06  8.89306307e-04  1.19630019e-04],0.000897,True
0.01,0.01,0.0,0.0,1.0,0.0,,,,0.000798,[-1.03751600e-05  1.01659752e-03  1.34706886e-04],0.001026,True
